waiting_times,avg_speeds,queue_lengths,travel_times,stopped_vehicles
53.166666666666664,13.38140363282472,6,153.28189550425273,6
44.111111111111114,33.848357909006324,9,153.56197352587245,9
25.85,7.306307753137438,20,153.38974970202622,20
30.041666666666668,29.776273546323427,24,158.8579743888242,24
40.869565217391305,13.2960397772872,23,161.65942857142858,23
83.0,22.78964256175954,8,162.56130483689537,8
44.22222222222222,28.47816353273815,18,162.42376681614348,18
35.74074074074074,23.369246665131914,27,162.10491071428572,27
46.03846153846154,22.58954169395213,26,163.21295279912184,26
54.074074074074076,35.29431731225688,27,162.93756845564076,27
71.66666666666667,40.2523605286217,21,162.81550218340612,21
88.57894736842105,15.71440639693852,19,162.75434782608696,19
65.23333333333333,21.727285371360267,30,163.15334773218143,30
69.40625,20.08920504819847,32,163.924064171123,32
83.13333333333334,21.352783041523658,30,163.45686900958466,30
152.0,17.188096377981392,9,162.92055084745763,9
145.9,31.103660116691344,10,162.37434279705573,10
92.47058823529412,20.534836854397998,17,162.840625,17
92.3157894736842,11.685046359378813,19,162.76470588235293,19
89.31818181818181,27.244097365227564,22,162.559670781893,22
148.41666666666666,29.98016262089884,12,162.1064483111566,12
158.41666666666666,26.785705688949893,12,162.19305413687437,12
77.03703703703704,36.02926607038262,27,162.1756345177665,27
85.65384615384616,7.574953624472754,26,161.90890688259108,26
95.34615384615384,23.86527092934202,26,161.30281690140845,26
11.454545454545455,18.737027273649257,11,161.17469879518072,11
9.882352941176471,21.967165978523884,17,161.0852557673019,17
14.758620689655173,21.411558925470093,29,161.69322709163347,29
17.928571428571427,21.791682150900964,42,162.55172413793105,42
31.451612903225808,9.592409683244165,31,162.7706511175899,31
25.8,22.53265223584604,15,163.58510638297872,15
36.285714285714285,12.632897578108935,14,163.34326923076924,14
24.26923076923077,0.0,26,163.89780324737345,26
31.0,23.86361253188361,29,163.81220209723546,29
43.30434782608695,6.630574110346974,23,163.8,23
52.13333333333333,35.5208726650734,15,164.01503759398497,15
42.22727272727273,19.355800254529676,22,163.74507966260543,22
45.57692307692308,36.43708433440831,26,163.45581395348836,26
36.8,20.745898556162494,40,163.34758364312268,40
82.0625,2.7661030339472825,16,163.4736355226642,16
95.66666666666667,19.522542933378155,12,163.08003679852806,12
61.42857142857143,28.10176990701928,21,163.0164835164835,21
71.42857142857143,24.185157591660445,21,163.39237057220708,21
74.34782608695652,26.371366938260596,23,163.512173128945,23
76.72,5.902076283520628,25,163.91487455197134,25
86.72,19.56180575885641,25,163.53303571428572,25
62.8,28.398880770415463,40,163.04262877442272,40
80.62857142857143,28.275634804264016,35,162.93351063829786,35
